name,year,image_url
セラ,1990,https://upload.wikimedia.org/wikipedia/commons/thumb/8/8e/Toyota_Sera_AMI.JPG/280px-Toyota_Sera_AMI.JPG
エスティマ,1990,https://upload.wikimedia.org/wikipedia/commons/thumb/7/7e/2016_Toyota_Estima.jpg/280px-2016_Toyota_Estima.jpg
ランドクルーザープラド,1990,https://upload.wikimedia.org/wikipedia/commons/thumb/1/1d/2018_Toyota_Land_Cruiser_Prado_%28GDJ150R%29_GXL_wagon_%282018-08-06%29_01.jpg/280px-2018_Toyota_Land_Cruiser_Prado_%28GDJ150R%29_GXL_wagon_%282018-08-06%29_01.jpg

サイノス,1991,https://upload.wikimedia.org/wikipedia/commons/thumb/1/19/1991_Toyota_Cynos_01.jpg/280px-1991_Toyota_Cynos_01.jpg

エスティマルシーダ,1992,https://upload.wikimedia.org/wikipedia/commons/thumb/f/fd/1992_Toyota_Estima-Lucida_01.jpg/560px-1992_Toyota_Estima-Lucida_01.jpg
エスティマエミーナ,1992,https://upload.wikimedia.org/wikipedia/commons/thumb/3/38/Toyota_Estima_Emina_001.JPG/560px-Toyota_Estima_Emina_001.JPG

T100,1993,https://upload.wikimedia.org/wikipedia/commons/thumb/c/c3/Toyota-T100-2.jpg/280px-Toyota-T100-2.jpg

カレン,1994,https://upload.wikimedia.org/wikipedia/commons/thumb/c/c5/Toyota_Curren_ST-206_1996_parking.jpg/280px-Toyota_Curren_ST-206_1996_parking.jpg

グランビア,1995,https://upload.wikimedia.org/wikipedia/commons/thumb/0/08/Toyota_Granvia_002.jpg/280px-Toyota_Granvia_002.jpg
コンフォート,1995,https://upload.wikimedia.org/wikipedia/commons/1/11/Heiwakotsu_Comfort.jpg

ソルーナ,1996,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e7/Toyota_Soluna.jpg/280px-Toyota_Soluna.jpg
クラシック,1996,https://upload.wikimedia.org/wikipedia/commons/thumb/0/08/Toyota_Classic_001.JPG/280px-Toyota_Classic_001.JPG
タウンエースノア,1996,https://upload.wikimedia.org/wikipedia/commons/thumb/2/24/1996_Toyota_Townace-Noah_01.jpg/280px-1996_Toyota_Townace-Noah_01.jpg
ライトエースノア,1996,https://upload.wikimedia.org/wikipedia/commons/thumb/5/5b/1996_Toyota_Liteace-Noah_01.jpg/280px-1996_Toyota_Liteace-Noah_01.jpg

レジアス,1997,https://upload.wikimedia.org/wikipedia/commons/thumb/5/5e/Toyota_Hiace_Regius_3.0D_%281997%29_%28front%29.jpg/280px-Toyota_Hiace_Regius_3.0D_%281997%29_%28front%29.jpg

アルテッツァ,1998,https://upload.wikimedia.org/wikipedia/commons/thumb/b/b1/Toyota_Altezza.JPG/280px-Toyota_Altezza.JPG

ヴィッツ,1999,https://upload.wikimedia.org/wikipedia/commons/thumb/c/c4/1999-2001_Toyota_Vitz.jpg/280px-1999-2001_Toyota_Vitz.jpg

プロナード,2000,https://upload.wikimedia.org/wikipedia/commons/thumb/2/22/Toyota_Pronard.jpg/280px-Toyota_Pronard.jpg
WiLL Vi,2000,https://upload.wikimedia.org/wikipedia/commons/thumb/5/5c/Toyota_WiLL_Vi.jpg/280px-Toyota_WiLL_Vi.jpg
bB,2000,https://upload.wikimedia.org/wikipedia/commons/thumb/3/3c/2008_Toyota_bB_01.jpg/280px-2008_Toyota_bB_01.jpg

アレックス,2001,https://upload.wikimedia.org/wikipedia/commons/thumb/c/c8/2004-2006_Toyota_Allex.jpg/280px-2004-2006_Toyota_Allex.jpg

アルファード,2002,https://upload.wikimedia.org/wikipedia/commons/thumb/a/a7/Toyota_Alphard_%28first_generation%29_%28front%2C_white%29%2C_Serdang.jpg/280px-Toyota_Alphard_%28first_generation%29_%28front%2C_white%29%2C_Serdang.jpg

ウィッシュ,2003,https://upload.wikimedia.org/wikipedia/commons/thumb/2/24/Toyota_Wish_ZNE10_2003_01.jpg/280px-Toyota_Wish_ZNE10_2003_01.jpg

パッソ,2004,https://upload.wikimedia.org/wikipedia/commons/thumb/b/be/Toyota_PASSO_MODA%22G_package%222WD_%285BA-M700A-GBSE%28G%29%29_front.jpg/280px-Toyota_PASSO_MODA%22G_package%222WD_%285BA-M700A-GBSE%28G%29%29_front.jpg
マークX,2004,https://upload.wikimedia.org/wikipedia/commons/thumb/b/bb/2004_Toyota_Mark-X_01.jpg/280px-2004_Toyota_Mark-X_01.jpg

ハリアーハイブリッド,2005,https://upload.wikimedia.org/wikipedia/commons/thumb/c/ca/Toyota_Harrier_Hybrid_01.JPG/280px-Toyota_Harrier_Hybrid_01.JPG

センチュリーロイヤル,2006,https://upload.wikimedia.org/wikipedia/commons/thumb/d/d5/Imperial_Processional_Car.jpg/280px-Imperial_Processional_Car.jpg

ヴァンガード,2007,https://upload.wikimedia.org/wikipedia/commons/thumb/5/5a/Toyota_vanguard_aca38w_240sspackage_1_f.jpg/280px-Toyota_vanguard_aca38w_240sspackage_1_f.jpg

iQ,2008,https://upload.wikimedia.org/wikipedia/commons/thumb/7/73/Toyota_iQ_001.JPG/280px-Toyota_iQ_001.JPG

プリウス,2009,https://upload.wikimedia.org/wikipedia/commons/thumb/4/41/2009_Toyota_Prius_01.jpg/200px-2009_Toyota_Prius_01.jpg

エティオス,2010,https://upload.wikimedia.org/wikipedia/commons/thumb/6/61/Toyota_Etios_1.5_XLS_Sedan_2019.jpg/200px-Toyota_Etios_1.5_XLS_Sedan_2019.jpg

ピクシススペース,2011,https://upload.wikimedia.org/wikipedia/commons/thumb/9/96/Toyota_Pixis_2.jpg/280px-Toyota_Pixis_2.jpg

86,2012,https://upload.wikimedia.org/wikipedia/commons/thumb/3/31/Toyota_86_GT_%28DBA-ZN6%29_front.jpg/280px-Toyota_86_GT_%28DBA-ZN6%29_front.jpg

オーリス,2013,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e4/Toyota_Auris_1.33_Dual-VVT-i_Start_Edition_%28II%29_%E2%80%93_Frontansicht%2C_11._Februar_2013%2C_D%C3%BCsseldorf.jpg/280px-Toyota_Auris_1.33_Dual-VVT-i_Start_Edition_%28II%29_%E2%80%93_Frontansicht%2C_11._Februar_2013%2C_D%C3%BCsseldorf.jpg

エスクァイア,2014,https://upload.wikimedia.org/wikipedia/commons/thumb/0/00/Toyota_esquire_hybrid.JPG/120px-Toyota_esquire_hybrid.JPG

ピクシスメガ,2015,https://upload.wikimedia.org/wikipedia/commons/thumb/5/58/Toyota%E3%83%BBPixis-Mega_L%22SA%22.jpg/280px-Toyota%E3%83%BBPixis-Mega_L%22SA%22.jpg

ピクシスジョイ,2016,https://upload.wikimedia.org/wikipedia/commons/thumb/f/f1/Toyota_PIXIS_JOY_F_G_Turbo%22SA_II%22_%28DBA-LA250A-GBVZ%29_front.jpg/280px-Toyota_PIXIS_JOY_F_G_Turbo%22SA_II%22_%28DBA-LA250A-GBVZ%29_front.jpg

RAV4,2020,https://upload.wikimedia.org/wikipedia/commons/thumb/7/78/Toyota_RAV4_Hybrid%2C_Paris_Motor_Show_2018%2C_IMG_0386.jpg/280px-Toyota_RAV4_Hybrid%2C_Paris_Motor_Show_2018%2C_IMG_0386.jpg